rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
8,16,1843200,3.7657629172007243,11.215532544,1.5576941967010498,4.747860980375087
16,32,3686400,3.776969083150228,10.614555648,1.5160831212997437,4.55435137131404
64,128,14745600,3.795950941244761,11.998028288,1.476814866065979,4.378975820309134
